player_age,woba,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,woba_percent
30,0.334,92.2,19.8,31.9,17.4,33.4
28,0.355,92.3,13.8,34,11.7,35.5
27,0.243,86.4,13.2,42.1,6.4,24.3
27,0.337,89.6,20.3,31.8,9.1,33.7
27,0.388,89.7,19.6,38.4,14.3,38.8
30,0.267,85,12,39.2,1.3,26.7
30,0.325,91.3,14.4,33.1,12.1,32.5
28,0.333,87.5,18.1,33.2,5.7,33.3
26,0.289,89.9,21.5,34,8.5,28.9
27,0.341,83.8,11.5,34,3.5,34.1
30,0.333,89.9,15.4,30.4,10.1,33.3
30,0.343,89.2,12.7,46.2,11,34.3
27,0.328,91.8,11.8,38.8,10.6,32.8
27,0.335,90.2,14.6,32.8,10.9,33.5
26,0.285,88.1,3.8,29.9,4,28.5
26,0.314,86.4,5,31.1,2.1,31.4
27,0.335,89.4,10.9,37.3,5.2,33.5
31,0.364,91,8,41.4,9.6,36.4
30,0.271,84.2,13.2,33.5,1.1,27.1
27,0.285,85.6,7,31.1,0.6,28.5
30,0.373,87.9,12.8,33.3,2,37.3
30,0.29,87.9,12.3,33.1,5.5,29
25,0.301,87.1,16.7,35.5,5.5,30.1
25,0.418,93.9,10.3,35.1,13.1,41.8
25,0.399,88.8,9.3,34.7,4.2,39.9
25,0.353,92.4,20.3,39.5,11.6,35.3
30,0.34,91.5,4.9,24.7,3.4,34
29,0.304,91.7,20.2,31.4,11.3,30.4
29,0.353,89.7,17.8,37.9,11,35.3
29,0.337,84.2,12,35.8,5.2,33.7
27,0.299,88.9,18.7,30.5,6.4,29.9
29,0.356,92.6,17.3,32.5,19.4,35.6
26,0.281,89.1,16,27.3,12.6,28.1
26,0.311,88.1,11.3,34,7.1,31.1
26,0.279,89.1,7.1,33.5,6.9,27.9
27,0.35,92.8,12.7,35.8,17.1,35
23,0.295,87.6,13.5,40,3.3,29.5
25,0.315,88.1,16.1,37.2,8.7,31.5
25,0.36,93.5,11.5,34.6,16,36
25,0.339,92.5,14.7,40.7,15.6,33.9
25,0.319,92,6.7,33.1,6.3,31.9
25,0.366,88.8,20.7,39.3,11.2,36.6
25,0.275,86.4,12,28.9,6.6,27.5
25,0.299,88.9,3.3,29.3,7.7,29.9
26,0.331,90,8.7,35.8,8.1,33.1
27,0.37,90.3,11.5,30.7,9.1,37
27,0.385,89.1,10,36.2,6.1,38.5
28,0.302,83.4,17.4,28.8,3.7,30.2
27,0.256,85.7,7.8,32.5,0.5,25.6
25,0.283,89.8,10.4,44.6,7.8,28.3
29,0.301,90.4,16,33.3,11.3,30.1
28,0.339,91.7,10.4,34.7,11.6,33.9
23,0.371,94.3,4.8,29.4,12.4,37.1
23,0.354,89.7,5.6,25,12.5,35.4
24,0.353,90.2,15,37.4,16.5,35.3
24,0.336,86.8,9.5,34.9,5.9,33.6
24,0.316,91.2,7.9,33.5,8.6,31.6
29,0.326,92.2,14.6,40.3,10.2,32.6
28,0.322,90.7,14.7,34.1,5.1,32.2
27,0.307,89.8,7.1,26.9,6.5,30.7
27,0.336,88.1,9.1,36.5,5.6,33.6
24,0.286,89.2,11.7,37.8,8.9,28.6
27,0.3,88.7,15.2,35.2,10.5,30
27,0.341,88.8,9.2,30.3,6.4,34.1
27,0.341,90.2,18.4,43.3,11.5,34.1
